run_order,run_id,instance_id,case_id,representation,strategy_id,prompt_key,input_text,model_version,temperature,max_output_tokens,status
11,RUN-011,E01_R2_STRUCTURED,E01,R2_STRUCTURED,S2,S2,"{""properties"":{""temperature"":{""type"":""number"",""unit"":""°C"",""read"":true,""write"":false},""battery"":{""type"":""number"",""unit"":""%"",""min"":0,""max"":100,""read"":true,""write"":false}}}",TO_BE_SELECTED,0,128,PENDING
12,RUN-012,P04_R2_STRUCTURED,P04,R2_STRUCTURED,S3,S3,"{""properties"":{""state"":{""type"":""enum"",""values"":[""ON"",""OFF""],""read"":true,""write"":true},""power"":{""type"":""number"",""unit"":""W"",""read"":true,""write"":false},""energy"":{""type"":""number"",""unit"":""kWh"",""read"":true,""write"":false}}}",TO_BE_SELECTED,0,128,PENDING
13,RUN-013,M06_R1_NL,M06,R1_NL,S1,S1,"The device is documented as human-presence sensor exposing presence plus motion_state and battery. It exposes a presence boolean, a motion_state value, battery percentage.",TO_BE_SELECTED,0,128,PENDING
14,RUN-014,L01_R2_STRUCTURED,L01,R2_STRUCTURED,S3,S3,"{""properties"":{""state"":{""type"":""enum"",""values"":[""ON"",""OFF""],""read"":true,""write"":true},""brightness"":{""type"":""integer"",""min"":0,""max"":254,""read"":true,""write"":true}}}",TO_BE_SELECTED,0,128,PENDING
15,RUN-015,L05_R2_STRUCTURED,L05,R2_STRUCTURED,S2,S2,"{""properties"":{""state"":{""type"":""enum"",""values"":[""ON"",""OFF""],""read"":true,""write"":true},""brightness"":{""type"":""integer"",""min"":0,""max"":254,""read"":true,""write"":true},""color_temp"":{""type"":""number"",""unit"":""mired"",""read"":true,""write"":true},""color_xy"":{""type"":""object"",""fields"":[""x"",""y""],""read"":true,""write"":true}}}",TO_BE_SELECTED,0,128,PENDING
16,RUN-016,L01_R3_API_TELEMETRY,L01,R3_API_TELEMETRY,S1,S1,"get_state() -> ON|OFF
set_state(ON|OFF)
get_brightness() -> 0..254
set_brightness(value:0..254)",TO_BE_SELECTED,0,128,PENDING
17,RUN-017,M04_R1_NL,M04,R1_NL,S2,S2,"The device is documented as smart presence sensor exposing binary occupancy and battery percentage. It exposes an occupancy-style binary signal, battery percentage.",TO_BE_SELECTED,0,128,PENDING
18,RUN-018,K03_R3_API_TELEMETRY,K03,R3_API_TELEMETRY,S1,S1,"get_state() -> ON|OFF
set_state(ON|OFF)
get_lock_state() -> locked|unlocked
set_lock_state(locked|unlocked)
battery -> integer 0..100 %",TO_BE_SELECTED,0,128,PENDING
19,RUN-019,P06_R1_NL,P06,R1_NL,S2,S2,"The device is a smart outlet where the outlet state can be switched on or off, instantaneous electrical power is reported, accumulated energy consumption is reported.",TO_BE_SELECTED,0,128,PENDING
20,RUN-020,M01_R3_API_TELEMETRY,M01,R3_API_TELEMETRY,S1,S1,"occupancy -> boolean
battery -> integer 0..100 %",TO_BE_SELECTED,0,128,PENDING
21,RUN-021,L05_R1_NL,L05,R1_NL,S2,S2,"The device is a connected light for which its on/off state can be read and changed, its brightness level can be adjusted, its white color temperature can be changed, its emitted color can be selected using color coordinates.",TO_BE_SELECTED,0,128,PENDING
22,RUN-022,L03_R3_API_TELEMETRY,L03,R3_API_TELEMETRY,S3,S3,"get_state() -> ON|OFF
set_state(ON|OFF)
get_brightness() -> 0..254
set_brightness(value:0..254)
get_color_xy() -> {x,y}
set_color_xy(x,y)",TO_BE_SELECTED,0,128,PENDING
23,RUN-023,M01_R1_NL,M01,R1_NL,S1,S1,"The device is documented as pir motion sensor. It exposes an occupancy-style binary signal, battery percentage.",TO_BE_SELECTED,0,128,PENDING
24,RUN-024,T04_R2_STRUCTURED,T04,R2_STRUCTURED,S1,S1,"{""properties"":{""local_temperature"":{""type"":""number"",""unit"":""°C"",""read"":true,""write"":false},""occupied_heating_setpoint"":{""type"":""number"",""unit"":""°C"",""read"":true,""write"":true},""occupied_cooling_setpoint"":{""type"":""number"",""unit"":""°C"",""read"":true,""write"":true},""system_mode"":{""type"":""enum"",""values"":[""off"",""heat"",""cool"",""auto""],""read"":true,""write"":true},""fan_mode"":{""type"":""enum"",""values"":[""auto"",""low"",""medium"",""high""],""read"":true,""write"":true}}}",TO_BE_SELECTED,0,128,PENDING
25,RUN-025,M04_R3_API_TELEMETRY,M04,R3_API_TELEMETRY,S3,S3,"device_description -> Smart motion sensor
occupancy -> boolean
battery -> integer 0..100 %",TO_BE_SELECTED,0,128,PENDING
26,RUN-026,E04_R2_STRUCTURED,E04,R2_STRUCTURED,S2,S2,"{""properties"":{""temperature"":{""type"":""number"",""unit"":""°C"",""read"":true,""write"":false},""humidity"":{""type"":""number"",""unit"":""%"",""read"":true,""write"":false},""battery"":{""type"":""number"",""unit"":""%"",""min"":0,""max"":100,""read"":true,""write"":false}}}",TO_BE_SELECTED,0,128,PENDING
27,RUN-027,T02_R2_STRUCTURED,T02,R2_STRUCTURED,S2,S2,"{""description"":""Thermostat"",""properties"":{""local_temperature"":{""type"":""number"",""unit"":""°C"",""read"":true,""write"":false},""occupied_heating_setpoint"":{""type"":""number"",""unit"":""°C"",""read"":true,""write"":true},""system_mode"":{""type"":""enum"",""values"":[""off"",""auto"",""heat""],""read"":true,""write"":true},""state"":{""type"":""enum"",""values"":[""ON"",""OFF""],""read"":true,""write"":true}}}",TO_BE_SELECTED,0,128,PENDING
28,RUN-028,T05_R1_NL,T05,R1_NL,S1,S1,"The device exposes local_temperature, one or more writable temperature setpoints, system_mode, fan_mode.",TO_BE_SELECTED,0,128,PENDING
29,RUN-029,E01_R1_NL,E01,R1_NL,S2,S2,"The device publishes measured temperature, remaining battery percentage.",TO_BE_SELECTED,0,128,PENDING
30,RUN-030,K01_R1_NL,K01,R1_NL,S3,S3,"The device exposes a lock-status value and an explicit unlock operation, remaining battery level.",TO_BE_SELECTED,0,128,PENDING
31,RUN-031,K04_R2_STRUCTURED,K04,R2_STRUCTURED,S1,S1,"{""properties"":{""lock"":{""type"":""enum"",""values"":[""locked"",""unlocked""],""read"":true,""write"":true},""door_state"":{""type"":""enum"",""values"":[""open"",""closed""],""read"":true,""write"":false},""battery"":{""type"":""number"",""unit"":""%"",""min"":0,""max"":100,""read"":true,""write"":false}}}",TO_BE_SELECTED,0,128,PENDING
32,RUN-032,L04_R3_API_TELEMETRY,L04,R3_API_TELEMETRY,S2,S2,"get_state() -> ON|OFF
set_state(ON|OFF)
get_brightness() -> 0..254
set_brightness(value:0..254)
get_color_temp() -> mired
set_color_temp(value:mired)",TO_BE_SELECTED,0,128,PENDING
33,RUN-033,E03_R1_NL,E03,R1_NL,S2,S2,"The device publishes measured temperature, relative humidity, remaining battery percentage.",TO_BE_SELECTED,0,128,PENDING
34,RUN-034,L05_R1_NL,L05,R1_NL,S3,S3,"The device is a connected light for which its on/off state can be read and changed, its brightness level can be adjusted, its white color temperature can be changed, its emitted color can be selected using color coordinates.",TO_BE_SELECTED,0,128,PENDING
35,RUN-035,L06_R1_NL,L06,R1_NL,S3,S3,"The device is a connected light for which its on/off state can be read and changed, its brightness level can be adjusted, its white color temperature can be changed, its emitted color can be selected using color coordinates.",TO_BE_SELECTED,0,128,PENDING
36,RUN-036,M04_R3_API_TELEMETRY,M04,R3_API_TELEMETRY,S2,S2,"device_description -> Smart motion sensor
occupancy -> boolean
battery -> integer 0..100 %",TO_BE_SELECTED,0,128,PENDING
37,RUN-037,T06_R2_STRUCTURED,T06,R2_STRUCTURED,S2,S2,"{""properties"":{""local_temperature"":{""type"":""number"",""unit"":""°C"",""read"":true,""write"":false},""occupied_heating_setpoint"":{""type"":""number"",""unit"":""°C"",""read"":true,""write"":true},""system_mode"":{""type"":""enum"",""values"":[""off"",""heat"",""cool"",""auto""],""read"":true,""write"":true},""fan_mode"":{""type"":""enum"",""values"":[""auto"",""low"",""medium"",""high""],""read"":true,""write"":true}}}",TO_BE_SELECTED,0,128,PENDING
38,RUN-038,T03_R1_NL,T03,R1_NL,S3,S3,"The device exposes local_temperature, one or more writable temperature setpoints, system_mode.",TO_BE_SELECTED,0,128,PENDING
39,RUN-039,E06_R2_STRUCTURED,E06,R2_STRUCTURED,S1,S1,"{""properties"":{""temperature"":{""type"":""number"",""unit"":""°C"",""read"":true,""write"":false},""humidity"":{""type"":""number"",""unit"":""%"",""read"":true,""write"":false},""battery"":{""type"":""number"",""unit"":""%"",""min"":0,""max"":100,""read"":true,""write"":false}}}",TO_BE_SELECTED,0,128,PENDING
40,RUN-040,L05_R3_API_TELEMETRY,L05,R3_API_TELEMETRY,S2,S2,"get_state() -> ON|OFF
set_state(ON|OFF)
get_brightness() -> 0..254
set_brightness(value:0..254)
get_color_temp() -> mired
set_color_temp(value:mired)
get_color_xy() -> {x,y}
set_color_xy(x,y)",TO_BE_SELECTED,0,128,PENDING
41,RUN-041,P01_R1_NL,P01,R1_NL,S1,S1,The device is a smart outlet where the outlet state can be switched on or off.,TO_BE_SELECTED,0,128,PENDING
42,RUN-042,K06_R1_NL,K06,R1_NL,S3,S3,"The device exposes lock/unlock state and control, remaining battery level.",TO_BE_SELECTED,0,128,PENDING
43,RUN-043,K04_R3_API_TELEMETRY,K04,R3_API_TELEMETRY,S2,S2,"get_lock_state() -> locked|unlocked
set_lock_state(locked|unlocked)
door_state -> open|closed
battery -> integer 0..100 %",TO_BE_SELECTED,0,128,PENDING
44,RUN-044,M06_R2_STRUCTURED,M06,R2_STRUCTURED,S1,S1,"{""properties"":{""presence"":{""type"":""boolean"",""read"":true,""write"":false},""motion_state"":{""type"":""enum"",""values"":[""none"",""static"",""small"",""large""],""read"":true,""write"":false},""battery"":{""type"":""number"",""unit"":""%"",""min"":0,""max"":100,""read"":true,""write"":false}}}",TO_BE_SELECTED,0,128,PENDING
45,RUN-045,K02_R1_NL,K02,R1_NL,S3,S3,"The device exposes lock/unlock state and control, remaining battery level.",TO_BE_SELECTED,0,128,PENDING
46,RUN-046,L05_R2_STRUCTURED,L05,R2_STRUCTURED,S3,S3,"{""properties"":{""state"":{""type"":""enum"",""values"":[""ON"",""OFF""],""read"":true,""write"":true},""brightness"":{""type"":""integer"",""min"":0,""max"":254,""read"":true,""write"":true},""color_temp"":{""type"":""number"",""unit"":""mired"",""read"":true,""write"":true},""color_xy"":{""type"":""object"",""fields"":[""x"",""y""],""read"":true,""write"":true}}}",TO_BE_SELECTED,0,128,PENDING
47,RUN-047,K06_R1_NL,K06,R1_NL,S2,S2,"The device exposes lock/unlock state and control, remaining battery level.",TO_BE_SELECTED,0,128,PENDING
48,RUN-048,M05_R1_NL,M05,R1_NL,S1,S1,"The device is documented as human presence sensor exposing a presence boolean and battery percentage. It exposes a presence boolean, battery percentage.",TO_BE_SELECTED,0,128,PENDING
49,RUN-049,M04_R3_API_TELEMETRY,M04,R3_API_TELEMETRY,S1,S1,"device_description -> Smart motion sensor
occupancy -> boolean
battery -> integer 0..100 %",TO_BE_SELECTED,0,128,PENDING
50,RUN-050,M02_R1_NL,M02,R1_NL,S3,S3,"The device is documented as device is documented as a motion sensor while reporting a binary occupancy property and battery percentage. It exposes an occupancy-style binary signal, battery percentage.",TO_BE_SELECTED,0,128,PENDING
51,RUN-051,K06_R3_API_TELEMETRY,K06,R3_API_TELEMETRY,S2,S2,"get_lock_state() -> locked|unlocked
set_lock_state(locked|unlocked)
battery -> integer 0..100 %",TO_BE_SELECTED,0,128,PENDING
52,RUN-052,M01_R2_STRUCTURED,M01,R2_STRUCTURED,S1,S1,"{""properties"":{""occupancy"":{""type"":""boolean"",""read"":true,""write"":false},""battery"":{""type"":""number"",""unit"":""%"",""min"":0,""max"":100,""read"":true,""write"":false}}}",TO_BE_SELECTED,0,128,PENDING
53,RUN-053,L03_R3_API_TELEMETRY,L03,R3_API_TELEMETRY,S1,S1,"get_state() -> ON|OFF
set_state(ON|OFF)
get_brightness() -> 0..254
set_brightness(value:0..254)
get_color_xy() -> {x,y}
set_color_xy(x,y)",TO_BE_SELECTED,0,128,PENDING
54,RUN-054,L02_R1_NL,L02,R1_NL,S2,S2,"The device is a connected light for which its on/off state can be read and changed, its brightness level can be adjusted, its white color temperature can be changed.",TO_BE_SELECTED,0,128,PENDING
55,RUN-055,E05_R2_STRUCTURED,E05,R2_STRUCTURED,S1,S1,"{""properties"":{""temperature"":{""type"":""number"",""unit"":""°C"",""read"":true,""write"":false},""humidity"":{""type"":""number"",""unit"":""%"",""read"":true,""write"":false},""battery"":{""type"":""number"",""unit"":""%"",""min"":0,""max"":100,""read"":true,""write"":false}}}",TO_BE_SELECTED,0,128,PENDING
56,RUN-056,L03_R2_STRUCTURED,L03,R2_STRUCTURED,S2,S2,"{""properties"":{""state"":{""type"":""enum"",""values"":[""ON"",""OFF""],""read"":true,""write"":true},""brightness"":{""type"":""integer"",""min"":0,""max"":254,""read"":true,""write"":true},""color_xy"":{""type"":""object"",""fields"":[""x"",""y""],""read"":true,""write"":true}}}",TO_BE_SELECTED,0,128,PENDING
57,RUN-057,P03_R1_NL,P03,R1_NL,S1,S1,"The device is a smart outlet where the outlet state can be switched on or off, instantaneous electrical power is reported, accumulated energy consumption is reported.",TO_BE_SELECTED,0,128,PENDING
58,RUN-058,L05_R2_STRUCTURED,L05,R2_STRUCTURED,S1,S1,"{""properties"":{""state"":{""type"":""enum"",""values"":[""ON"",""OFF""],""read"":true,""write"":true},""brightness"":{""type"":""integer"",""min"":0,""max"":254,""read"":true,""write"":true},""color_temp"":{""type"":""number"",""unit"":""mired"",""read"":true,""write"":true},""color_xy"":{""type"":""object"",""fields"":[""x"",""y""],""read"":true,""write"":true}}}",TO_BE_SELECTED,0,128,PENDING
59,RUN-059,T01_R3_API_TELEMETRY,T01,R3_API_TELEMETRY,S1,S1,"local_temperature -> number °C
occupied_heating_setpoint -> °C
set_heating_setpoint(value:°C)
system_mode -> off|heat|cool|auto
set_system_mode(mode)",TO_BE_SELECTED,0,128,PENDING
60,RUN-060,K06_R2_STRUCTURED,K06,R2_STRUCTURED,S3,S3,"{""properties"":{""lock"":{""type"":""enum"",""values"":[""locked"",""unlocked""],""read"":true,""write"":true},""battery"":{""type"":""number"",""unit"":""%"",""min"":0,""max"":100,""read"":true,""write"":false}}}",TO_BE_SELECTED,0,128,PENDING
61,RUN-061,M02_R2_STRUCTURED,M02,R2_STRUCTURED,S2,S2,"{""description"":""Zigbee PIR sensor"",""properties"":{""occupancy"":{""type"":""boolean"",""read"":true,""write"":false},""battery"":{""type"":""number"",""unit"":""%"",""min"":0,""max"":100,""read"":true,""write"":false}}}",TO_BE_SELECTED,0,128,PENDING
62,RUN-062,L06_R2_STRUCTURED,L06,R2_STRUCTURED,S2,S2,"{""properties"":{""state"":{""type"":""enum"",""values"":[""ON"",""OFF""],""read"":true,""write"":true},""brightness"":{""type"":""integer"",""min"":0,""max"":254,""read"":true,""write"":true},""color_temp"":{""type"":""number"",""unit"":""mired"",""read"":true,""write"":true},""color_xy"":{""type"":""object"",""fields"":[""x"",""y""],""read"":true,""write"":true},""color_hs"":{""type"":""object"",""fields"":[""hue"",""saturation""],""read"":true,""write"":true}}}",TO_BE_SELECTED,0,128,PENDING
63,RUN-063,K02_R2_STRUCTURED,K02,R2_STRUCTURED,S1,S1,"{""properties"":{""state"":{""type"":""enum"",""values"":[""ON"",""OFF""],""read"":true,""write"":true},""lock"":{""type"":""enum"",""values"":[""locked"",""unlocked""],""read"":true,""write"":true},""battery"":{""type"":""number"",""unit"":""%"",""min"":0,""max"":100,""read"":true,""write"":false}}}",TO_BE_SELECTED,0,128,PENDING
64,RUN-064,K05_R2_STRUCTURED,K05,R2_STRUCTURED,S2,S2,"{""properties"":{""lock"":{""type"":""enum"",""values"":[""locked"",""unlocked""],""read"":true,""write"":true},""door_state"":{""type"":""enum"",""values"":[""open"",""closed""],""read"":true,""write"":false},""battery"":{""type"":""number"",""unit"":""%"",""min"":0,""max"":100,""read"":true,""write"":false}}}",TO_BE_SELECTED,0,128,PENDING
65,RUN-065,P05_R3_API_TELEMETRY,P05,R3_API_TELEMETRY,S3,S3,"get_state() -> ON|OFF
set_state(ON|OFF)
power -> number W
energy -> number kWh",TO_BE_SELECTED,0,128,PENDING
66,RUN-066,T06_R3_API_TELEMETRY,T06,R3_API_TELEMETRY,S3,S3,"local_temperature -> number °C
occupied_heating_setpoint -> °C
set_heating_setpoint(value:°C)
system_mode -> off|heat|cool|auto
set_system_mode(mode)
fan_mode -> auto|low|medium|high
set_fan_mode(mode)",TO_BE_SELECTED,0,128,PENDING
67,RUN-067,M03_R3_API_TELEMETRY,M03,R3_API_TELEMETRY,S3,S3,"device_description -> Motion sensor
occupancy -> boolean
battery -> integer 0..100 %",TO_BE_SELECTED,0,128,PENDING
68,RUN-068,K04_R1_NL,K04,R1_NL,S3,S3,"The device exposes lock/unlock state and control, a separate physical door-state value, remaining battery level.",TO_BE_SELECTED,0,128,PENDING
69,RUN-069,P03_R2_STRUCTURED,P03,R2_STRUCTURED,S3,S3,"{""properties"":{""state"":{""type"":""enum"",""values"":[""ON"",""OFF""],""read"":true,""write"":true},""power"":{""type"":""number"",""unit"":""W"",""read"":true,""write"":false},""energy"":{""type"":""number"",""unit"":""kWh"",""read"":true,""write"":false}}}",TO_BE_SELECTED,0,128,PENDING
70,RUN-070,M02_R2_STRUCTURED,M02,R2_STRUCTURED,S1,S1,"{""description"":""Zigbee PIR sensor"",""properties"":{""occupancy"":{""type"":""boolean"",""read"":true,""write"":false},""battery"":{""type"":""number"",""unit"":""%"",""min"":0,""max"":100,""read"":true,""write"":false}}}",TO_BE_SELECTED,0,128,PENDING
71,RUN-071,E03_R2_STRUCTURED,E03,R2_STRUCTURED,S2,S2,"{""properties"":{""temperature"":{""type"":""number"",""unit"":""°C"",""read"":true,""write"":false},""humidity"":{""type"":""number"",""unit"":""%"",""read"":true,""write"":false},""battery"":{""type"":""number"",""unit"":""%"",""min"":0,""max"":100,""read"":true,""write"":false}}}",TO_BE_SELECTED,0,128,PENDING
72,RUN-072,E05_R2_STRUCTURED,E05,R2_STRUCTURED,S3,S3,"{""properties"":{""temperature"":{""type"":""number"",""unit"":""°C"",""read"":true,""write"":false},""humidity"":{""type"":""number"",""unit"":""%"",""read"":true,""write"":false},""battery"":{""type"":""number"",""unit"":""%"",""min"":0,""max"":100,""read"":true,""write"":false}}}",TO_BE_SELECTED,0,128,PENDING
73,RUN-073,E05_R3_API_TELEMETRY,E05,R3_API_TELEMETRY,S1,S1,"temperature -> number °C
humidity -> number %
battery -> integer 0..100 %",TO_BE_SELECTED,0,128,PENDING
74,RUN-074,E02_R2_STRUCTURED,E02,R2_STRUCTURED,S3,S3,"{""properties"":{""temperature"":{""type"":""number"",""unit"":""°C"",""read"":true,""write"":false},""humidity"":{""type"":""number"",""unit"":""%"",""read"":true,""write"":false},""battery"":{""type"":""number"",""unit"":""%"",""min"":0,""max"":100,""read"":true,""write"":false}}}",TO_BE_SELECTED,0,128,PENDING
75,RUN-075,E04_R3_API_TELEMETRY,E04,R3_API_TELEMETRY,S1,S1,"temperature -> number °C
humidity -> number %
battery -> integer 0..100 %",TO_BE_SELECTED,0,128,PENDING
76,RUN-076,L05_R3_API_TELEMETRY,L05,R3_API_TELEMETRY,S3,S3,"get_state() -> ON|OFF
set_state(ON|OFF)
get_brightness() -> 0..254
set_brightness(value:0..254)
get_color_temp() -> mired
set_color_temp(value:mired)
get_color_xy() -> {x,y}
set_color_xy(x,y)",TO_BE_SELECTED,0,128,PENDING
77,RUN-077,M05_R2_STRUCTURED,M05,R2_STRUCTURED,S3,S3,"{""properties"":{""presence"":{""type"":""boolean"",""read"":true,""write"":false},""battery"":{""type"":""number"",""unit"":""%"",""min"":0,""max"":100,""read"":true,""write"":false}}}",TO_BE_SELECTED,0,128,PENDING
78,RUN-078,T04_R3_API_TELEMETRY,T04,R3_API_TELEMETRY,S3,S3,"local_temperature -> number °C
occupied_heating_setpoint -> °C
set_heating_setpoint(value:°C)
occupied_cooling_setpoint -> °C
set_cooling_setpoint(value:°C)
system_mode -> off|heat|cool|auto
set_system_mode(mode)
fan_mode -> auto|low|medium|high
set_fan_mode(mode)",TO_BE_SELECTED,0,128,PENDING
79,RUN-079,T01_R1_NL,T01,R1_NL,S1,S1,"The device exposes local_temperature, one or more writable temperature setpoints, system_mode.",TO_BE_SELECTED,0,128,PENDING
80,RUN-080,L06_R1_NL,L06,R1_NL,S2,S2,"The device is a connected light for which its on/off state can be read and changed, its brightness level can be adjusted, its white color temperature can be changed, its emitted color can be selected using color coordinates.",TO_BE_SELECTED,0,128,PENDING
81,RUN-081,P02_R2_STRUCTURED,P02,R2_STRUCTURED,S2,S2,"{""properties"":{""state"":{""type"":""enum"",""values"":[""ON"",""OFF""],""read"":true,""write"":true}}}",TO_BE_SELECTED,0,128,PENDING
82,RUN-082,M05_R1_NL,M05,R1_NL,S2,S2,"The device is documented as human presence sensor exposing a presence boolean and battery percentage. It exposes a presence boolean, battery percentage.",TO_BE_SELECTED,0,128,PENDING
83,RUN-083,P01_R3_API_TELEMETRY,P01,R3_API_TELEMETRY,S1,S1,"get_state() -> ON|OFF
set_state(ON|OFF)",TO_BE_SELECTED,0,128,PENDING
84,RUN-084,K06_R3_API_TELEMETRY,K06,R3_API_TELEMETRY,S1,S1,"get_lock_state() -> locked|unlocked
set_lock_state(locked|unlocked)
battery -> integer 0..100 %",TO_BE_SELECTED,0,128,PENDING
85,RUN-085,T06_R3_API_TELEMETRY,T06,R3_API_TELEMETRY,S2,S2,"local_temperature -> number °C
occupied_heating_setpoint -> °C
set_heating_setpoint(value:°C)
system_mode -> off|heat|cool|auto
set_system_mode(mode)
fan_mode -> auto|low|medium|high
set_fan_mode(mode)",TO_BE_SELECTED,0,128,PENDING
86,RUN-086,E01_R1_NL,E01,R1_NL,S1,S1,"The device publishes measured temperature, remaining battery percentage.",TO_BE_SELECTED,0,128,PENDING
87,RUN-087,M06_R3_API_TELEMETRY,M06,R3_API_TELEMETRY,S1,S1,"presence -> boolean
motion_state -> none|static|small|large
battery -> integer 0..100 %",TO_BE_SELECTED,0,128,PENDING
88,RUN-088,P03_R1_NL,P03,R1_NL,S2,S2,"The device is a smart outlet where the outlet state can be switched on or off, instantaneous electrical power is reported, accumulated energy consumption is reported.",TO_BE_SELECTED,0,128,PENDING
89,RUN-089,M02_R3_API_TELEMETRY,M02,R3_API_TELEMETRY,S3,S3,"device_description -> Zigbee PIR sensor
occupancy -> boolean
battery -> integer 0..100 %",TO_BE_SELECTED,0,128,PENDING
90,RUN-090,L01_R1_NL,L01,R1_NL,S2,S2,"The device is a connected light for which its on/off state can be read and changed, its brightness level can be adjusted.",TO_BE_SELECTED,0,128,PENDING
91,RUN-091,T06_R1_NL,T06,R1_NL,S3,S3,"The device exposes local_temperature, one or more writable temperature setpoints, system_mode, fan_mode.",TO_BE_SELECTED,0,128,PENDING
92,RUN-092,T04_R3_API_TELEMETRY,T04,R3_API_TELEMETRY,S2,S2,"local_temperature -> number °C
occupied_heating_setpoint -> °C
set_heating_setpoint(value:°C)
occupied_cooling_setpoint -> °C
set_cooling_setpoint(value:°C)
system_mode -> off|heat|cool|auto
set_system_mode(mode)
fan_mode -> auto|low|medium|high
set_fan_mode(mode)",TO_BE_SELECTED,0,128,PENDING
93,RUN-093,M04_R2_STRUCTURED,M04,R2_STRUCTURED,S1,S1,"{""description"":""Smart motion sensor"",""properties"":{""occupancy"":{""type"":""boolean"",""read"":true,""write"":false},""battery"":{""type"":""number"",""unit"":""%"",""min"":0,""max"":100,""read"":true,""write"":false}}}",TO_BE_SELECTED,0,128,PENDING
94,RUN-094,P06_R3_API_TELEMETRY,P06,R3_API_TELEMETRY,S1,S1,"get_state() -> ON|OFF
set_state(ON|OFF)
power -> number W
energy -> number kWh",TO_BE_SELECTED,0,128,PENDING
95,RUN-095,M05_R3_API_TELEMETRY,M05,R3_API_TELEMETRY,S3,S3,"presence -> boolean
battery -> integer 0..100 %",TO_BE_SELECTED,0,128,PENDING
96,RUN-096,P02_R1_NL,P02,R1_NL,S2,S2,The device is a smart outlet where the outlet state can be switched on or off.,TO_BE_SELECTED,0,128,PENDING
97,RUN-097,T01_R2_STRUCTURED,T01,R2_STRUCTURED,S2,S2,"{""properties"":{""local_temperature"":{""type"":""number"",""unit"":""°C"",""read"":true,""write"":false},""occupied_heating_setpoint"":{""type"":""number"",""unit"":""°C"",""read"":true,""write"":true},""system_mode"":{""type"":""enum"",""values"":[""off"",""heat"",""cool"",""auto""],""read"":true,""write"":true}}}",TO_BE_SELECTED,0,128,PENDING
98,RUN-098,P05_R1_NL,P05,R1_NL,S3,S3,"The device is a smart outlet where the outlet state can be switched on or off, instantaneous electrical power is reported, accumulated energy consumption is reported.",TO_BE_SELECTED,0,128,PENDING
99,RUN-099,M03_R3_API_TELEMETRY,M03,R3_API_TELEMETRY,S2,S2,"device_description -> Motion sensor
occupancy -> boolean
battery -> integer 0..100 %",TO_BE_SELECTED,0,128,PENDING
